ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike,Categorized Age,Categorized Income
12496,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,No,Middle Age,Low Income
24107,Married,Male,30000,3,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,No,Middle Age,Low Income
14177,Married,Male,80000,5,Partial College,Professional,No,2,2-5 Miles,Europe,60,No,Middle Age,Average Income
24381,Single,Male,70000,0,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,41,Yes,Middle Age,Average Income
25597,Single,Male,30000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,36,Yes,Middle Age,Low Income
13507,Married,Female,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,50,No,Middle Age,Low Income
27974,Single,Male,160000,2,High School,Management,Yes,4,0-1 Miles,Pacific,33,Yes,Young Age,High Income
19364,Married,Male,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Yes,Middle Age,Low Income
22155,Married,Male,20000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,58,No,Middle Age,Low Income
19280,Married,Male,80000,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,52,Yes,Middle Age,Average Income
22173,Married,Female,30000,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,54,Yes,Middle Age,Low Income
12697,Single,Female,90000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,36,No,Middle Age,Average Income
11434,Married,Male,170000,5,Partial College,Professional,Yes,2,0-1 Miles,Europe,55,No,Middle Age,High Income
25323,Married,Male,40000,2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Yes,Young Age,Low Income
23542,Single,Male,60000,1,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45,Yes,Middle Age,Average Income
20870,Single,Female,10000,2,High School,Manual,Yes,1,0-1 Miles,Europe,38,Yes,Middle Age,Low Income
23316,Single,Male,30000,3,Partial College,Clerical,No,2,1-2 Miles,Pacific,59,Yes,Middle Age,Low Income
12610,Married,Female,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,No,Middle Age,Low Income
27183,Single,Male,40000,2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Yes,Young Age,Low Income
25940,Single,Male,20000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,Yes,Middle Age,Low Income
